keyword,links,count
Mina King,6838,1
Rio de Janeiro,"6888,6860,6866,6867,6873,6838,6839,6840,6841,6842,6843,6844",12
Dutch,"6881,6891,6892,6894,6863,6898,6900,6838,6871,6872,6873,6902,6843,6876,6845,6875,6847",17
Englishman Bristol Grefe,6838,1
PortugueseŒCentral African Catholic,6838,1
Faial,6838,1
One,"6838,6900,6872,6869,6873,6878",6
Kimbundu,"6838,6844,6840,6847",4
Antônio Mina,6838,1
Mexico City,"6851,6854,6895,6867,6868,6838,6840,6844,6847",9
Nicole,"6854,6838,6840,6842,6844,6847",6
Frenchman,6838,1
Santa Catarina,"6838,6878",2
Christian,"6838,6869",2
Vicencia Monica,6838,1
Manuel Antônio,6838,1
Alfama,6838,1
North Africans,"6838,6844",2
São Bento,6838,1
Turks,6838,1
Francisco Roberto,6838,1
Germeten,"6851,6854,6838,6840,6842,6844,6847",7
San Juan de Dios,"6841,6876",2
Vera Cruz,"6859,6860,6873,6868,6869,6841,6843",7
Domingo de Olmos,6841,1
Tarascan Indians,6841,1
European,"6895,6864,6898,6867,6840,6841,6842,6876,6847",9
Germeten As,6841,1
Spanish Inquisition,6841,1
Mexico City Nicole,6841,1
Discipline,6841,1
Afro Mexican Baroque,6841,1
Our Lady of Sorrows,6841,1
Maureen Flynn,6841,1
Purgatory,6841,1
Expiration of Christ,6841,1
Isabel,6841,1
Lenten,6841,1
Juan Congo,6841,1
Bloodshed of Christ,6841,1
Juan Bautista,6841,1
Afro Mexicans,6841,1
Marques del Valle,6841,1
Christians,"6841,6902",2
Virgin Mary,6841,1
Sebastiana Catharina,6841,1
Twelve In Ayamonte,6841,1
Jane Landers,"6854,6839,6841,6842,6847",5
Frederick Bowser,6841,1
Santenia,6841,1
Maundy,6841,1
Christ's Passion,6841,1
Lisbon,"6841,6842,6844,6847,6843",5
Domingo Criollo,"6841,6840",2
Christ of the Column,6841,1
Juan Diego de la Barrera,6841,1
Agustín Francisco de Aruña,6841,1
Exaltation of the Holy Cross,6841,1
Portugal,"6881,6894,6895,6866,6867,6900,6902,6841,6907,6845,6847",11
Saint Nicolás Tolentino of Mount Calvary,6841,1
New World,"6892,6895,6900,6902,6839,6841,6875,6844,6878,6847",10
Mercedarian,6841,1
Santa Catarina Martir,6841,1
Victoria de la Cruz,6841,1
Most Holy Sacrament,6841,1
Chihuahua,6841,1
Santa Clara,6841,1
Nicolás de Rojas,6841,1
Exaltation of Christ,6841,1
Afro Peruvian,6841,1
Alonso de Sandoval,"6841,6840",2
AfroMexican,6841,1
Flyagellation,6841,1
San Lázaro,"6841,6840",2
Acapulco,6841,1
March,"6841,6871,6876",3
College of San Juan Letran,6841,1
Holy Christ of the Solitude,6841,1
Saint John,6841,1
Lima,"6872,6895,6867,6868,6869,6840,6841,6876",8
Afro Latin Americans,6841,1
Antonio de la Cruz,6841,1
Joseph Lezamis,6841,1
Italy,"6841,6843,6902",3
Virgin of Anguishes,6841,1
New Spanish,6841,1
Our Lady of Mercy,6841,1
Juan Fraile,6841,1
Laya,6841,1
Kingdom of Kongo,"6841,6840",2
Seixas,6841,1
Saint Joseph,6841,1
Archbishopric,6841,1
Portuguese,"6907,6887,6891,6892,6895,6866,6902,6841,6843,6876,6845,6847",12
Immaculate Conception Hospital,6841,1
Hispauences,6841,1
Parral,6841,1
Cartagena,"6854,6860,6864,6868,6869,6839,6841,6844,6847",9
Jesus Christ,6841,1
Mauricio Pacheco,6841,1
Christ of the Expiration,6841,1
Santo Domingo,"6841,6840,6872,6867,6871,6873",6
Hispanic,"6841,6872,6873",3
Saint Catherine Martyr,6841,1
James Sweet,"6841,6842,6847",3
Sariñana,6841,1
Capuchin,6841,1
Our Lady of Anguishes,6841,1
Asia,"6841,6907,6844,6878,6847",5
Zamora,6841,1
Santa Veracruz,6841,1
Joseph de Rojas,6841,1
Vincent Ferrer,6841,1
Oaxaca,6841,1
Spanish Baroque Catholicism,6841,1
Seville,"6841,6867,6868,6907",4
Easter Sunday,6841,1
Christianity,"6892,6894,6840,6841,6845,6878",6
William Christian,6841,1
Bourbon,"6841,6872,6873",3
Inés Simona de Peralta,6841,1
English,"6881,6894,6863,6895,6898,6868,6869,6900,6841,6843,6845,6875,6907",13
Plood,6841,1
San Roque,"6841,6840",2
Natives,6841,1
Francisco Aguiar,6841,1
Islamic,"6841,6842,6844",3
True Cross,6841,1
Nazarene,6841,1
West Central Africans,"6841,6842",2
Ana María,6841,1
Joseph de Zepeda,6841,1
Diego de la Sierra,6841,1
Rafaela,6841,1
Afro Brazilian,6841,1
Corpus Christi,6841,1
San Nicolás Tolentino,6841,1
Jaén,6841,1
Afro Iberians,6841,1
New Spain's Viceroy Revillagigedo,6841,1
Christian Kongo,6841,1
Creoles,"6841,6842,6873",3
Black Brotherhoods,6841,1
Augustinian,6841,1
El Santo,6841,1
San Benito Palermo,6841,1
Our Lady of the Consolation,6841,1
Dominican Church,6841,1
Toledo,6841,1
Hospital of the Immaculate Conception,6841,1
Holy Ecce Homo,6841,1
Spaniards,"6841,6840,6872,6873,6875,6876,6902",7
Benedict of Palermo,6841,1
Holy Week,6841,1
Holf,"6841,6840",2
Trinity Church,6841,1
Jesuits,"6841,6840,6878,6902",4
Rosambuco,6841,1
Trinidad,"6841,6891,6871",3
Doña Manuela Cortés,6841,1
Franciscan,"6841,6840",2
Hernán Cortés,6841,1
Sierra Leone,"6854,6841,6845,6902",4
Precious Blood of Christ,6841,1
Mande,6841,1
Spanish America,"6902,6839,6872,6841,6879",5
Soyo,6841,1
Guinea,6841,1
Spanish Empire,"6841,6840",2
Good Friday,6841,1
Atlantic Africa,"6841,6894",2
Jesus Cristo,6841,1
Santo Crjo,6841,1
KongoAngolan,6841,1
Zacatecas,"6841,6867,6868",3
Twelve Nor,6841,1
Virgin of Succor,6841,1
Linda Heywood,6841,1
Gemelli Careri,6841,1
Juan Roque,6841,1
Pascual Díaz,6841,1
Morelia,6841,1
Coyoacan,6841,1
Lope de Vega,6841,1
Renaissance,6841,1
María de Chapter Twelve Segovia,6841,1
Antonio de Cárdenas Salazar,6841,1
Baptist,"6841,6844",2
Jolof,"6841,6844,6894",3
Taxco,6841,1
Iberian Black Atlantic,"6841,6847",2
Catholics,"6841,6840",2
Jornal do Commercio,6900,1
Freedom,6900,1
Regimento dos Pretos,6900,1
Medicine of Rio de Janeiro,6900,1
Former Slaves,6900,1
Ordem de Cristo,6900,1
Nupe,"6900,6842,6845",3
Boutiques,6900,1
Valongo Street,6900,1
Surgeons,6900,1
Luiz Antonio Batalha,6900,1
Trans Atlantic Slave Trade Database,6900,1
Paris,"6900,6843",2
Luis Antonio de Oliveira Mendes,6900,1
Almanak Laemmert,6900,1
Calabar Benguela Tapa Congo Nago Rebolo Total Rio de Janeiro Bahia Other,6900,1
Atlantic World,"6884,6859,6861,6864,6900,6843",6
Africans,"6881,6854,6894,6897,6879,6900,6837,6902,6839,6872,6873,6843,6845,6875,6847",15
French,"6881,6853,6891,6862,6863,6894,6895,6900,6902,6875,6876",11
West Central African,6900,1
Brazilian Empirally,6900,1
Joaquim Antonio Ferreira,6900,1
João Benguela,6900,1
Luiz Francisco do Couto,6900,1
Câmara,6900,1
Caribbean,"6884,6862,6863,6895,6900,6902,6839,6840,6907,6878",10
Anatômica,6900,1
Negro,"6900,6873",2
Yoruba,"6900,6840",2
Leeches,6900,1
West Africa,"6892,6900,6902",3
Constantino,6900,1
Wood,"6900,6902",2
Didot Frères,6900,1
Frederico Angola,6900,1
Ignacio Monte,6900,1
Junta do Comércio,6900,1
Joaquim Batista,6900,1
João Batista Coelho,6900,1
Historique au Brésil,6900,1
Portuguese Royal Medical College,6900,1
Séjour,6900,1
Domingos Silva,6900,1
Divina Pastora,6900,1
Angolan,6900,1
Cambambe,6900,1
Fisicatura Mór do Reino,6900,1
Portuguese Medical College,6900,1
Manoel Salvador,"6900,6847",2
Portuguese Empire,6900,1
Bahian,6900,1
Britain,"6900,6844",2
Francisco Pires Guimarães,6900,1
Place of Employment,6900,1
Chapter Ten Law,6900,1
Bunda,6900,1
Regimento de Infantaria de Milícias,6900,1
Pretos Novos,6900,1
Le Chirurgien Nègre,6900,1
Jean Baptiste Debret,6900,1
Loanda,6900,1
Manoel Congo,6900,1
Hilton Simpson,6900,1
Practitioner,6900,1
Royal Medical College of Lisbon,6900,1
United States,"6878,6861,6867,6900,6869,6902,6839,6872,6843,6875",10
Western,"6900,6869",2
Lady of the Remediesﬂ,6900,1
Latin American,"6900,6844,6869",3
João Antonio Ferreira,6900,1
Arabs of Algeria,6900,1
Black Surgeon,6900,1
Total Source,"6900,6878",2
Portuguese Royal Court,6900,1
City Council of Rio de Janeiro,6900,1
Baquaqua,6900,1
Barbershop,6900,1
Author,6900,1
Severe,6900,1
River Congo,6900,1
Magani,6900,1
African Barbeiros,6900,1
Slavery,"6900,6847,6872,6876,6878",5
Streets of Rio de Janeiro Besides,6900,1
Voyage Pittoresque,6900,1
Mina Mahi,6900,1
Ira Berlin,"6900,6839",2
Militiaﬂ,6900,1
School of Medicine,6900,1
Christiano Jr,6900,1
Black Man,6900,1
Middle Passage,"6900,6844,6839",3
Medicina,6900,1
Bight of Benin,"6900,6842,6844",3
Ten Miller,6900,1
Marcus Rediker,6900,1
Nigeria,"6900,6844,6845",3
Muslim,"6894,6900,6902,6840,6845",5
Longue Durée Historical,6900,1
Luanda,"6854,6900,6842,6844,6845",5
Macmillan,"6900,6873",2
Paul Lovejoy,6900,1
Médico Cirúrgica do Rio de Janeiro,6900,1
Tania Pimenta,6900,1
Victor Turner,6900,1
Diogo Lopes,6900,1
Medical School,6900,1
Médica do Rio de Janeiro,6900,1
Ndembu,6900,1
Mariana,"6900,6847,6878",3
Luis César de Meneses,6900,1
Siegfried Frederick Nadel,6900,1
Academy of Fine Arts,6900,1
Unknown,6900,1
Mina Jeje Angola,6900,1
Brazils,6900,1
Joachim John Monteiro,6900,1
Many Headed Hydra,6900,1
Arquivo Nacional,"6900,6878",2
Catholic,"6900,6844",2
Brazilian National Archives,6900,1
José do Santos Martins,6900,1
Paulo Cabinda,6900,1
Gonçalo Cordeiro,6900,1
Caçador,6900,1
West Central Africst,6900,1
Academy of Sciences,6900,1
Pedropremier,6900,1
Hausaland,"6900,6842,6844,6845",4
Barbiers,6900,1
Portuguese Atlantic,6900,1
Henrique Batista,6900,1
Military Hospital,6900,1
Permanent Licenses,6900,1
Calabar Benguela Total Rio de Janeiro Bahia Other,6900,1
João Gomes Vale,6900,1
Lewis Wall,6900,1
Peter Linebaugh,6900,1
Nossa Senhora dos Remédios,"6900,6847",2
Vitorino Angola,6900,1
Providência,6900,1
Mina Coast,"6900,6842",2
Cemitério do Valongo,6900,1
Brazilian Slave Ports Mariza de Carvalho Soares For,6900,1
University of Coimbra,"6900,6847",2
Brazilian Empire,6900,1
Medical Academy of Surgery of Rio de Janeiro,6900,1
Chapter Ten Rio,6900,1
Regent,6900,1
Haiti,6900,1
France,"6881,6863,6900,6869,6902,6843,6875,6878",8
Figure,6900,1
La˚ya,6900,1
Koranic,6900,1
Vicente da Silva,6900,1
Portuguese Court,6900,1
Comments If,6900,1
Santa Rita,6900,1
Santa Casa de Misericórdia,6900,1
Roquinaldo Ferreira,"6900,6845,6854",3
School of Anatomy,6900,1
National Library of Brazil,6900,1
First Viscount of Guaratiba,6900,1
Isabel Reis,6842,1
Good Lord Jesus of Redemption,6842,1
Congada,6842,1
November,"6842,6871",2
Capital,6842,1
Nina Rodrigues,6842,1
Atlantic Basin,6842,1
Luis Sanin,6842,1
Marcelina da Silva,6842,1
West Africa Mina,6842,1
Joaquim Ferreira da Costa,6842,1
Benguela Cabinda,6842,1
Benguelas,6842,1
São Pedro,6842,1
Fon,"6842,6844",2
Angolan Nkisi,6842,1
Portuguese America,"6881,6842,6875,6878",4
Casange,6842,1
Vodun of the Jejes,6842,1
Kwanza,6842,1
Nagô Street,6842,1
Nagôs',6842,1
Jeje Mahi,6842,1
Onim,6842,1
Koran,6842,1
Paulo,6842,1
Arquivo Público do Estado da Bahia,6842,1
FulaniFulah,6842,1
Ketu,"6842,6845",2
Nagô Ba,6842,1
Sé,6842,1
Viscount of Anadia,6842,1
Ambaca,6842,1
Cuba,"6876,6854,6858,6873,6842,6843,6844,6845",8
Hausa Bori,6842,1
Nagô Candomblé,6842,1
Porto Novo,6842,1
Companhia das Letras,6842,1
Arabic,6842,1
New World African,6842,1
Afro Bahian,6842,1
Nineteenth Century Salvador,6842,1
Joseph,"6842,6840,6878",3
Nishida,6842,1
Others,"6842,6867",2
Africans of the Congo,6842,1
FulaniHausa,6842,1
Haitian Revolution,"6840,6842,6853",3
Candomblés,6842,1
Brasil,6842,1
Ardra,6842,1
Mozambique,"6842,6844",2
Minas Gerais,6842,1
Catholic Black Atlantic World,6842,1
Romanization of the Brazilian Catholic Church,6842,1
Tapa,6842,1
Anago,6842,1
Borno,"6842,6845",2
Orisa of the Nagôs,6842,1
Rebelião,6842,1
Nagô Jabu,6842,1
Hausas of Bahia,6842,1
Santana,6842,1
Table,"6842,6844",2
Ijebu,6842,1
Costa da Mina,"6842,6878",2
Bengo,6842,1
Allada,"6842,6845",2
Ndongo,6842,1
Southeast Africa Angola,6842,1
Dankô,6842,1
Ngola,6842,1
Pereira Sodré,6842,1
Recôncavo,6842,1
Slave Coast,"6842,6844,6845",3
Egba,6842,1
Jeje Dagomé,6842,1
Mary,6842,1
Bariba,"6842,6845",2
New Yam,6842,1
Subtotal,6842,1
Nagô Muslims,6842,1
São Salvador da Bahia,6842,1
Good Lord of Necessity,6842,1
Africanization,"6842,6844",2
African Muslims,6842,1
Jexa,6842,1
Maria do Espirito Santo,6842,1
Yoruban,6842,1
Badagry,"6842,6844,6845",3
Africancreole,6842,1
Bay of All Saints,"6842,6878",2
Gge,6842,1
Our Lady of the Rosary,6842,1
Nagô Alley,6842,1
Yorubaland,"6842,6844,6845",3
Ewe,6842,1
Whydah,"6842,6845",2
Malomi,6842,1
Itapoan,6842,1
Borgu,"6842,6845",2
Candomblé Nagô,6842,1
Nagô Orisa,6842,1
Fulani Hausa,6842,1
Just,"6842,6875",2
Little Popo,"6842,6845",2
Ilorin,6842,1
Calundu,6842,1
Malami,6842,1
Ife,"6842,6844",2
BahianLagos,6842,1
Iya Nassô,6842,1
Ilesa,6842,1
Dahomeyan,6842,1
São Benedito,6842,1
Marshall Sahlins,6842,1
Malê,"6842,6840",2
Robin Law,"6854,6902,6839,6842,6847",5
Mariza de Carvalho Soares,"6854,6839,6840,6842,6847",5
Carmelite,6842,1
Elesbão do Carmo,6842,1
Central Sudan,6842,1
Yoruba Muslims Chapter,6842,1
Bahia João José Reis,6842,1
Ifa,6842,1
Francisca da Silva,6842,1
Obatossi,6842,1
Naguently,6842,1
Mocambo,6842,1
Count of Ponte,6842,1
African Nations,6842,1
Oyo Ile,6842,1
Probate,6842,1
Gold Coast,6844,1
Family Language Dialect Ota,6844,1
Vili,6844,1
Yoruba Ijuma,6844,1
Mbeti,6844,1
Nova Scotians,6844,1
James,"6854,6902,6839,6840,6844,6878",6
Mandinka,6844,1
Mbo˜a,6844,1
Sobo,6844,1
Songo,6844,1
Basa Nupe,6844,1
Bagba,6844,1
Kristin Mann,6844,1
Nwala,6844,1
Britisst,6844,1
Housa Kano,6844,1
Jean Herskovits,6844,1
Ngoala,6844,1
Bamom,6844,1
Ohuasora,6844,1
Param,6844,1
Igbo Mudiaka,6844,1
Eki,6844,1
Ba˜a,6844,1
Way of Death,"6844,6878",2
Afro Creole,6844,1
John Macaulay,6844,1
Freetown Christian Creole,6844,1
Leo Spitzer,6844,1
Province of Freedom,6844,1
Koelle's Modern,6844,1
Etsaka,6844,1
History of the Yoruba,6844,1
Seke Congos,6844,1
British Caribbean,6844,1
Gambia,6844,1
Mboma,6844,1
Melon,6844,1
Matatan,6844,1
Old Calabar,"6844,6845",2
Hwida,6844,1
African Americans,"6844,6902",2
Yagba,6844,1
Bongkeng,6844,1
West African,"6894,6895,6839,6844,6845,6878",6
Ekoek Kromantees,6844,1
Big Company,6844,1
Marawi,6844,1
German,6844,1
Mumbete,6844,1
Ibibio Okua,6844,1
Maravi,6844,1
Abaja,6844,1
Reverends Knight,6844,1
Bavarian,6844,1
Liberated Africans,6844,1
Kongo Kabenda,6844,1
Urhobo,6844,1
Equiano,6844,1
Country,6844,1
African Atlantic,6844,1
Kisama Nyombe,6844,1
Nteke,6844,1
Mandingve Mande,6844,1
Babel,6844,1
Methodist Chapter One Chapel,6844,1
Aku Yoruba,6844,1
Binnee,6844,1
Edo,6844,1
Law,"6844,6840",2
Waterloo,6844,1
Egbele,6844,1
African Christians,6844,1
Mboli,6844,1
Kanyika,6844,1
Bamum,6844,1
Fourah Bay,6844,1
Reverend Samuel Ajayi Crowther,6844,1
Pentecostal,6844,1
Virgin Islands,6844,1
Chapter One Iberians,6844,1
Muslim Creoles,6844,1
Medo,6844,1
Basa Bassa,6844,1
One As,6844,1
Christianityﬂ,6844,1
Ntandu,6844,1
Egba Yoruba,6844,1
Ruunda,6844,1
Bathurst,6844,1
Ijesa,"6844,6845",2
Amoni Paupahs,6844,1
Oduduwa,6844,1
Ignatius Sancho,6844,1
Abeokuta,"6844,6845",2
Joseph Miller,6844,1
Igbos,6844,1
Ondo,6844,1
Duala,6844,1
Peggy Liss,6844,1
Akoos,6844,1
Christmas,6844,1
Landers,"6852,6844",2
Mahi Aizo,6844,1
Bamenyam,6844,1
Geggus,"6844,6868",2
Cameroon,6844,1
Angola,"6881,6844,6845",3
Africa's Atlantic,6844,1
Identities Sierra Leoneans,6844,1
Odudua,6844,1
Pagans,6844,1
Nkuo,6844,1
Bayong,6844,1
Orungu,6844,1
Bahamian Africans,6844,1
Ambundu,6844,1
Franklin Knight,6844,1
Sierra Leonean Christians,6844,1
Dynamics,6844,1
Oludumare,6844,1
War of the American Revolution,"6844,6867",2
Johnson,"6844,6875,6878",3
Freetown Muslim Creole,6844,1
Elugu,6844,1
Methodists,6844,1
Veiao,6844,1
West Central Africa,"6844,6845,6840",3
John Peterson,6844,1
Ovimbundu,6844,1
Aro,6844,1
Brazilians,"6844,6845",2
Lubalo,6844,1
Nghalemoe,6844,1
Bamileke,6844,1
Africanus,6844,1
Ethnogenesis,6844,1
Little Company,6844,1
Adja,6844,1
Batsaya,6844,1
Recaptives,6844,1
Horton,6844,1
Sunde,6844,1
Cuabo,6844,1
CreoleAfrican,6844,1
Susu,6844,1
European Christian,6844,1
London,"6883,6885,6869,6839,6872,6873,6843,6844,6907",9
Ngola Musentandu,6844,1
Bahamians,6844,1
George Brooks,6844,1
Edinburgh,6844,1
Western Christianity,6844,1
Bassa Society,6844,1
Ndoki,6844,1
Akan,"6844,6894",2
Nations of Africa,6844,1
Yombe,6844,1
Adrian Hastings,6844,1
Christopher Fyfe,6844,1
Prussian,6844,1
Wolof,"6844,6840",2
Bornu,6844,1
Boma,6844,1
Diwala,6844,1
Bight of Biafran,6844,1
Shango,"6844,6840",2
Teke,6844,1
Joseph Bartholomew,6844,1
Ungwa,6844,1
International Congo Association,6844,1
Ibo Ozozu,6844,1
Anfue,6844,1
Mahi Hausas,6844,1
Charles Knight,6844,1
Oyo,"6844,6845",2
Babuma,6844,1
Edward Wilmot Blyden,6844,1
Chapter One Gustavus Vassa,6844,1
Islauences,6844,1
Seventeen Nations,6844,1
Afro Jamaicans,6844,1
Saros,6844,1
Jesus,6844,1
Creoles',6844,1
Rungu,6844,1
Lunda,"6844,6847",2
Kiriman,6844,1
Calabar Igbo,6844,1
English',6844,1
William Baikie,6844,1
Anglicans,6844,1
Balu,6844,1
Fulbe Muslim,6844,1
Ishiele,6844,1
Bakum,6844,1
Chapters,6844,1
Tsaye,6844,1
Dahomean Adampe,6844,1
Kalaba Anang,6844,1
Roman Empire,6844,1
Africanness,6844,1
Christiauence,6844,1
Mokos,6844,1
Eboos,6844,1
George Crowley Nicol,6844,1
Obani,6844,1
Yao,6844,1
Sweet,6844,1
Sokoto Caliphate,6844,1
Samual Ajayi Crowther,6844,1
Jonah,6844,1
Jekiri Isoama,6844,1
Kaniok,6844,1
Diversity,"6844,6845",2
Ibadan,6844,1
Hueda,6844,1
Bibie,6844,1
Olomo Ihewe,6844,1
Ayaji,6844,1
Oloma Bassas,6844,1
Atlantic African,6844,1
Senegal,"6844,6902",2
Papiah,6844,1
Rosanne Adderley,6844,1
Beli,6844,1
British Crown Colony,6844,1
Ishan,6844,1
Kasands,6844,1
Identity,6844,1
Bini,6844,1
Katsina Hausa Small,6844,1
Reverend Joseph Wright,6844,1
Adangme,6844,1
Seke Isuwu,6844,1
Kakanja,6844,1
Sierra Leone African,6844,1
Mbamba,6844,1
AfricanEuropean,"6844,6902",2
Note,"6844,6867",2
Nyamban Inhambane,6844,1
Kossi,6844,1
Yoruba Muslims,6844,1
Kisama Calabahs,6844,1
Africanist,6844,1
Ngoteng,6844,1
Ijebu a Yoruba,6844,1
Tege,6844,1
Saharan Africa,6844,1
Oworo,6844,1
Sierra Leone David Northrup In,6844,1
John Peel,6844,1
Meto,6844,1
Imbangala,6844,1
Afro Jamaican Maroons,6844,1
Moko Isuwu,6844,1
Maxwell of Sierra Leone,6844,1
Bakom,6844,1
Benguela,6844,1
Nsudi,6844,1
Joaquim João Dias Lima,6845,1
Olotanikun,6845,1
Lusophone,6845,1
Monteiro,6845,1
Unity,6845,1
Antonio Dossou Yovo,6845,1
Latte,6845,1
Rozario Corréa,6845,1
Dahomians,6845,1
Indian,"6845,6847",2
Djougou,6845,1
Ekpe,6845,1
Aného,6845,1
Togo,6845,1
Ocean,"6845,6873",2
Kposi,6845,1
Azili,6845,1
Maro,6845,1
Haitian,6845,1
Iseri,6845,1
Joaquim das Neves,6845,1
French Catholic,6845,1
Hwesi,6845,1
Hueda Dangbe,6845,1
João do Rego,6845,1
Accra,6845,1
Développement de Ouidah,6845,1
Soloté,6845,1
Abbé Laftte,6845,1
Adjigo,6845,1
Agonli,6845,1
Zangbeto,6845,1
Ghana,6845,1
Ahouandjigo,6845,1
Mawu,6845,1
Union Générale,6845,1
Adja Tado,6845,1
Dahomian Chapter Two,6845,1
Ouidah of Nago,6845,1
Gardo Baquaqua,6845,1
Marie,6845,1
Medeiros,6845,1
Alapini,6845,1
Vieyra,6845,1
Hunon,6845,1
Mother of King Tegbesu,6845,1
Villaça,6845,1
Afro French,6845,1
River Weme,6845,1
Soule Ade,6845,1
British Methodist,6845,1
Casimir Agbo's Histoire de Ouidah,6845,1
Fonsaramè,6845,1
Hula,6845,1
Heviè,6845,1
Sogbadji,6845,1
Gold Coasthe,6845,1
Ofa,6845,1
Ouras,6845,1
Egbo,6845,1
Chapter Two Ouidah,6845,1
Masse,6845,1
Yovogan,6845,1
Goa,"6845,6878",2
Agbessikpé,6845,1
Grand Popo,6845,1
Hevioso,6845,1
Tosso,6845,1
Pedro Felix,6845,1
Eya,6845,1
Atlantic,"6881,6854,6858,6860,6837,6872,6876,6845",8
French Roman Catholic,6845,1
AdjaTado,6845,1
Ishaga,6845,1
Ganvè,6845,1
Nagot,6845,1
Sandra Barnes,6845,1
Meko,6845,1
Fulani,6845,1
EuroAmerican,6845,1
Fakambi,6845,1
Olufade,6845,1
Kpase,6845,1
Juda,6845,1
Angelo Custodio das Chagas,6845,1
Gezo,6845,1
Tovè,6845,1
Isidoro,6845,1
Cotonou,6845,1
Adjakoun,6845,1
Dahomeyﬂ,6845,1
Ezili of Ouidah,6845,1
Bode,6845,1
Sougla,6845,1
Zado,6845,1
Fante,6845,1
Mina,6845,1
Gelede,6845,1
Hwanjile,6845,1
Popoe,6845,1
Americo,6845,1
Agaja,6845,1
Cape Coast,6845,1
Sakpata,6845,1
Union Sympathique des Houédas,6845,1
Olougbon,6845,1
Hohonsi,6845,1
Chacha,6845,1
Dekplega,6845,1
Edna Bay,6845,1
Gbeti,6845,1
Zagnanado,6845,1
Egungun,6845,1
Fantis,6845,1
Chango,6845,1
Djigbé Wémè,6845,1
